"Año";"Periodo";"Casos diarios"
"2021";"Día 8 de abril";"2.764"
"2021";"Día 9 de abril";"2.431"
"2021";"Día 12 de abril";"3.931"
"2021";"Día 13 de abril";"2.176"
"2021";"Día 14 de abril";"2.541"
"2021";"Día 15 de abril";"2.717"
"2021";"Día 16 de abril";"2.301"
"2021";"Día 19 de abril";"4.744"
"2021";"Día 20 de abril";"2.409"
"2021";"Día 21 de abril";"2.755"
"2021";"Día 22 de abril";"2.593"
"2021";"Día 23 de abril";"2.445"
"2021";"Día 26 de abril";"3.762"
"2021";"Día 27 de abril";"2.435"
"2021";"Día 28 de abril";"2.557"
"2021";"Día 29 de abril";"2.248"
"2021";"Día 30 de abril";"2.286"
"2021";"Día 3 de mayo";"3.347"
"2021";"Día 4 de mayo";"778"
"2021";"Día 5 de mayo";"1.881"
"2021";"Día 6 de mayo";"2.133"
"2021";"Día 7 de mayo";"2.055"
